Participant,Tester,Initial Coder,Blind Coder,Embod Coder,Blind Embod Coder,Date Tested,Time Tested,EventVersion,Previous Study?,ASL?,Filename,Original Filenames,In AllData?,To include,Exclude reason,Notes
1,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_01_Gesture.mp4, Spatial_01_Case.mp4","SC 1 G N 00016, SC 1 G AI 00017",Yes,1,,
2,Eunice,Eunice,Miguel,Miguel,NA,UNK,UNK,,,,"Spatial_02_Gesture.mp4, Spatial_02_Case.mp4","SC 2 G N 00019, SC 2 G AI 00020",Yes,0,UNK,
3,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_03_Gesture, Spatial_03_Case","SC 3 G N2 00024, SC 3 G AI2 00026, SC 3 G AI3 00027",Yes,1,,
4,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_04_Gesture, Spatial_04_Case","SC 4 G N2 00031, SC 4 G AI2 00033",Yes,1,,
5,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_05_Gesture.mp4, Spatial_05_Case.mp4","SC 5 G N 00214, SC 5 G AI2 00216",Yes,1,,
6,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_06_Gesture.mp4, Spatial_06_Case.mp4","SC 6 G N2 00219, SC 6 G AI 00220",Yes,1,,
7,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_07_Gesture.mp4, Spatial_07_Case.mp4","SC 7 G N 00222, SC 7 G AI 00223",Yes,1,,
8,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_08_Gesture.mp4, Spatial_08_Case.mp4","SC 8 G N 00225, SC 8 G AI 00226",Yes,1,,
Subjects 9-12,Eunice,NA,NA,NA,NA,UNK,UNK,,,,Data lost,,No,0,NA,Data lost
Subjects 13-20,Eunice,NA,NA,NA,NA,UNK,UNK,,,,Numbers not used,,No,0,NA,Data lost
21,Eunice,Caitlin,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_21_Gesture.mp4, Spatial_21_Case.mp4","S1_00138.mp4, S1_00140.mp4, S1_00139.mp4",Yes,1,,"Note, coding of Case task missing; needs recoding. Original trial 5 of Case is in S1_00139"
22,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_22_Gesture.mp4, Spatial_22_Case.mp4","S2_00142.mp4, S2_00143.mp4",Yes,1,,
23,Eunice,Eunice,Miguel,Miguel,NA,UNK,UNK,,,,"Spatial_23_Gesture.mp4, Spatial_23_Case.mp4","S3_00147, S3_00148",Yes,0,V-Only,Exclude for V-only gestures in Free condition
24,Eunice,Eunice,Miguel,Miguel,NA,UNK,UNK,,,,,"Don't use, doesn't have Casemarking movie",No,0,INCOMPLETE,Subject didn't complete Case condition
25,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_25_Gesture.mp4, Spatial_25_Case.mp4","S5_00154, S5_00155, S5_00156",Yes,1,,
26,Eunice,Eunice,Miguel,Miguel,Taylor,UNK,UNK,,,,"Spatial_26_Gesture.mp4, Spatial_26_Case.mp4","S6_00158, S6_00159",Yes,1,,
27,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_27_Gesture, Spatial_27_Case","S7_00161, S7_00162",Yes,1,,
28,Eunice,Eunice,Miguel,Miguel,NA!!!,UNK,UNK,,,,"Spatial_28_Gesture, Spatial_28_Case","S8_00164, S8_00165, S8_00166",No,0,CONFUSED,Subject didn't understand instructions (Eunice report)
29,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_29_Gesture, Spatial_29_Case",", S9_00170",Yes,1,,
30,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_30_Gesture, Spatial_30_Case","s10_00172, S10_00174",Yes,1,,
31,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_31_Gesture, Spatial_31_Case","S11_00176, S11_00177, S11_00179",Yes,1,,
