HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Comments,Answer.English,Answer.country,Answer.payCode,VideoProblem
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,200H88MQU6L5VGX966IX24ALLW3BUB,A3URNV625JS985,Approved,Mon Feb 24 14:46:07 GMT 2014,Mon Feb 24 16:08:49 GMT 2014,Mon Mar 03 08:08:49 PST 2014,Tue Feb 25 07:35:32 PST 2014,,,4962,100% (1/1),100% (1/1),100% (1/1),,yes,USA,e2ab67fcaaf131,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,20YSVQ8H88MQ1BN2CGMCN1R0ZNK7QY,A177MFU45JREF5,Approved,Mon Feb 24 20:37:21 GMT 2014,Mon Feb 24 22:20:27 GMT 2014,Mon Mar 03 14:20:27 PST 2014,Tue Feb 25 07:35:31 PST 2014,,,6186,100% (1/1),100% (1/1),100% (1/1),,yes,USA,h1ca059598i194,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,25H9746OQ1SNXV9NUCR56QKFP8W3NJ,AWDBHQA8XK0G1,Approved,Mon Feb 24 14:30:53 GMT 2014,Mon Feb 24 16:19:21 GMT 2014,Mon Mar 03 08:19:21 PST 2014,Tue Feb 25 07:35:34 PST 2014,,,6508,100% (1/1),100% (1/1),100% (1/1),,yes,USA,d2d42b8e17c142,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,26QB49F9SSSH463GCSJTAH5IA14SWY,AJTLU1NGH01P8,Approved,Mon Feb 24 15:31:45 GMT 2014,Mon Feb 24 17:03:29 GMT 2014,Mon Mar 03 09:03:29 PST 2014,Tue Feb 25 07:35:33 PST 2014,,,5504,100% (1/1),100% (1/1),100% (1/1),"Pages load a little slow, sometimes you have to push the button twice to move on to the next page.",yes,USA,aa362d854j159,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,280E4BLYHVI4BTUZ8QL8INE2US50UD,A1IQZMAPFSP9S0,Approved,Mon Feb 24 14:31:03 GMT 2014,Mon Feb 24 16:12:36 GMT 2014,Mon Mar 03 08:12:36 PST 2014,Tue Feb 25 07:35:33 PST 2014,,,6093,100% (3/3),100% (1/1),100% (1/1),,yes,USA,j19b9018f6j117,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,29YR70G5R98DFO5S2CNSXTN1EYBRB1,A3U3CO4KXBYX9X,Approved,Mon Feb 24 16:33:09 GMT 2014,Mon Feb 24 18:49:58 GMT 2014,Mon Mar 03 10:49:58 PST 2014,Tue Feb 25 07:35:31 PST 2014,,,8209,100% (2/2),100% (2/2),100% (1/1),"Very interesting study- surprisingly hard. If my mind wandered for even a split second I would give an incorrect answer. There were a couple of typos in the questions, usually on the word ""the."" Other than that everything ran smoothly.",yes,USA,f1b6e418c7b173,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2A85R98D8J3VLCYPGYEYHG3PE12VF0,A1OW8OJ9OIY182,Approved,Mon Feb 24 14:31:28 GMT 2014,Mon Feb 24 16:07:18 GMT 2014,Mon Mar 03 08:07:18 PST 2014,Tue Feb 25 07:35:31 PST 2014,,,5750,100% (4/4),100% (1/1),100% (1/1),,yes,USA,i1ffeaf25g118,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2BNP9746OQ1SUVS4EBY0A1QNE4N2M8,A3Q0QURRI61FVB,Approved,Mon Feb 24 15:12:22 GMT 2014,Mon Feb 24 17:08:52 GMT 2014,Mon Mar 03 09:08:52 PST 2014,Tue Feb 25 07:35:32 PST 2014,,,6990,100% (11/11),100% (1/1),100% (1/1),I better remembered the gestures.,no,USA,c2746569aba148,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2JUNJKM05BMJ0ZJVK77TU9RD9ABHCZ,A2NDOHC5EJ84YO,Approved,Mon Feb 24 16:22:44 GMT 2014,Mon Feb 24 18:09:44 GMT 2014,Mon Mar 03 10:09:44 PST 2014,Tue Feb 25 07:35:32 PST 2014,,,6420,100% (1/1),100% (1/1),100% (1/1),"In the section at the beginning and in the middle where you are being tested on individual gestures, there is a ""right"" or ""wrong"" screen. The graphic on both screens is broken/missing.  Also, when testing the phrases, there were some sentences where ""na"" would appear, i.e. ""was the na kicked by the fireman?"" The phrasing was very confusing and lead to me selecting the wrong answer more than once.",yes,USA,dc2e27356j169,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2N58XMB3Q39Z7G8RHTXT9EVVVCOSHT,A1S88VQY8G8CNC,Approved,Mon Feb 24 15:02:33 GMT 2014,Mon Feb 24 16:52:19 GMT 2014,Mon Mar 03 08:52:19 PST 2014,Tue Feb 25 07:35:33 PST 2014,,,6586,100% (4/4),100% (1/1),100% (1/1),"probably the most exhausting and difficult hit i have done in my 10 months on doing M Turk hits.  very long study.  also i didn't realize until about the 10th set of words that we were supposed to list the words in the same order they were presented; i think that was the case.  also a few times the word ""na"" appeared which threw me for a loop.  on the bright side, thanks for your generosity and best wishes.",yes,USA,a2a79394ebi139,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2NHGFL6VCPWZGWPAKNFV6S7VPLS7ME,AU3PYL5WRERAY,Approved,Mon Feb 24 17:17:23 GMT 2014,Mon Feb 24 18:54:37 GMT 2014,Mon Mar 03 10:54:37 PST 2014,Tue Feb 25 07:35:33 PST 2014,,,5834,100% (1/1),100% (1/1),100% (1/1),I noticed that it seemed harder for me to remember the second set of words when I had to read the question as opposed to the first set when I only had to watch the video.,yes,USA,c3cecb29cc172,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2OKCWY2AOO2GTRGDCT7QXCM9KSA33A,A25KM3PUOUZFN1,Approved,Mon Feb 24 15:35:25 GMT 2014,Mon Feb 24 16:55:50 GMT 2014,Mon Mar 03 08:55:50 PST 2014,Tue Feb 25 07:35:33 PST 2014,,,4825,100% (1/1),100% (1/1),100% (1/1),,yes,USA,j127276b8db161,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2P30HFL42J1L5AA8V7YM5IGIMY7M19,A2ZJS73XSSMRTD,Approved,Mon Feb 24 14:36:56 GMT 2014,Mon Feb 24 16:28:18 GMT 2014,Mon Mar 03 08:28:18 PST 2014,Tue Feb 25 07:35:32 PST 2014,,,6682,100% (2/2),100% (2/2),100% (1/1),Had an issue with the videos working in Safari but the study worked fine in Firefox,yes,USA,i242fa0939d137,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2PQQS1CSTMOF4WFPSN31JYDQZ09NQ5,A1VSHM4NLZ705D,Approved,Mon Feb 24 14:32:40 GMT 2014,Mon Feb 24 16:22:56 GMT 2014,Mon Mar 03 08:22:56 PST 2014,Tue Feb 25 07:35:34 PST 2014,,,6616,100% (4/4),100% (2/2),100% (1/1),"This was excessively long.  Having to try to remember two five-word groups, plus a video, 72 times is too much.  It was twice as long as it should be.  It was annoying after the halfway point.  I'm not pleased by this and I'm quite angry.",yes,USA,c520611b3i125,FALSE
22ESBRI8IUB25ZB57MJTQB3MQ3E4G7,2CDI62NJQ21794B6EMXBPLCVFJ4NV5,Multitasking Memory Test - Learn some gesture symbols and remember sequences.  Test your memory!,Part 1: Learn a set of 20 gesture symbols. Part 2: Memory Test - Remember sequences of words and gestures,"survey, study, research, math, language",$5.00 ,Mon Feb 24 14:30:28 GMT 2014,20,BatchId:1429573;,9600,604800,Mon Mar 03 14:30:28 GMT 2014,,,2R6CWA6X3YOCJK29DABXUTIQK01ONA,A3CCFORLDM35SC,Rejected,Mon Feb 24 16:06:46 GMT 2014,Mon Feb 24 16:07:01 GMT 2014,Mon Mar 03 08:07:01 PST 2014,,Tue Feb 25 07:36:43 PST 2014,"Your paycode didn't match a completed survey, and you worked on this HIT for only 15 seconds.",15,0% (0/1),0% (0/1),0% (0/1),,,USA,hs23ctpz,FALSE
